ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Серебрякова Дарья Георгиевна,Улица Вавилова,9,236,1982,,,,,
Рыбаков Фёдор Дмитриевич,Улица Крупской,3,181,1985,,,,,
Козлов Роман Сергеевич,Ленинский проспект,3,206,1983,,,,,
Соколова Василиса Александровна,Ленинский проспект,21,95,1985,,,,,
Баранова Алиса Ивановна,Проспект Вернадского,3,88,1981,,,,,
Карпова Арина Григорьевна,Улица Марии Ульяновой,21,168,1987,,,,,
Ежова Ксения Георгиевна,Улица Вавилова,11,226,1955,,,,,
Шилова Алиса Ивановна,Улица Гарибальди,17,133,1976,,,,,
Белов Максим Демидович,Улица Архитектора Власова,8,19,1995,,,,,
Осипов Александр Тимофеевич,Ленинский проспект,16,216,1958,,,,,
Самсонова Милана Матвеевна,Улица Крупской,28,46,1953,,,,,
Осипов Вадим Борисович,Улица Марии Ульяновой,9,205,1970,,,,,
Алексеев Степан Семёнович,Проспект Вернадского,9,198,1971,,,,,
Иванов Дмитрий Ярославович,Улица Гарибальди,28,147,1981,,,,,
Григорьев Пётр Александрович,Улица Крупской,4,17,1982,,,,,
Лебедева Василиса Андреевна,Улица Академика Пилюгина,2,138,1973,,,,,
Климова Екатерина Михайловна,Улица Гарибальди,28,93,1987,,,,,
Филиппова София Максимовна,Улица Кравченко,20,219,1981,,,,,
Павлов Кирилл Александрович,Ленинский проспект,19,278,2003,,,,,
Миронов Илья Мирославович,Улица Кравченко,2,295,1981,,,,,
Филимонова Анна Владимировна,Проспект Вернадского,12,29,1983,,,,,
Ермакова Майя Никитична,Улица Крупской,5,298,1973,,,,,
Соколов Михаил Романович,Нахимовский проспект,30,291,1981,,,,,
Орлов Вадим Иванович,Проспект Вернадского,1,173,1965,,,,,
Орлов Игорь Александрович,Улица Гарибальди,19,41,1968,,,,,
Соколов Лев Владиславович,Улица Строителей,19,173,1984,,,,,
Орлов Игорь Александрович,Улица Строителей,11,90,1986,,,,,
Новикова Елизавета Дмитриевна,Улица Академика Пилюгина,6,93,1964,,,,,
Тихонов Константин Артёмович,Улица Панфёрова,10,263,1974,,,,,
Голиков Лев Никитич,Улица Гарибальди,15,178,1953,,,,,
Куликов Ярослав Фёдорович,Улица Кравченко,27,137,1986,,,,,
Серебрякова Дарья Георгиевна,Улица Крупской,24,85,1951,,,,,
Скворцов Максим Мирославович,Улица Строителей,25,117,2001,,,,,
Новикова София Елисеевна,Улица Гарибальди,21,222,1981,,,,,
Матвеева Ева Андреевна,Улица Вавилова,4,236,1998,,,,,
Яковлев Леонид Константинович,Улица Вавилова,5,126,1959,,,,,
Климова Екатерина Михайловна,Улица Кравченко,23,205,1990,,,,,
Шестаков Андрей Львович,Улица Гарибальди,20,129,1986,,,,,
Соколова Полина Романовна,Улица Гарибальди,21,256,1956,,,,,
Миронов Иван Никитич,Улица Вавилова,19,147,1964,,,,,
Прохоров Андрей Арсеньевич,Ленинский проспект,19,217,1961,,,,,
Литвинова Полина Лукинична,Улица Вавилова,10,213,1992,,,,,
Грачев Платон Русланович,Улица Крупской,1,255,2002,,,,,
Попов Илья Матвеевич,Улица Академика Пилюгина,23,274,1978,,,,,
Суворов Макар Александрович,Проспект Вернадского,26,228,1987,,,,,
Степанов Дмитрий Александрович,Проспект Вернадского,27,244,1976,,,,,
Ананьев Алексей Семёнович,Улица Марии Ульяновой,14,130,1990,,,,,
Овчинникова Дарья Ильинична,Улица Вавилова,11,293,1954,,,,,
Шестаков Андрей Львович,Улица Крупской,20,298,1965,,,,,
Голиков Лев Никитич,Улица Вавилова,8,23,1989,,,,,
Ермакова Майя Никитична,Улица Марии Ульяновой,8,274,1967,,,,,
Ларина Александра Ярославовна,Улица Крупской,26,137,2001,,,,,
Петров Георгий Николаевич,Улица Марии Ульяновой,23,119,1970,,,,,
Карташов Марк Владимирович,Улица Вавилова,13,237,1975,,,,,
Кудрявцева Анна Тимофеевна,Улица Панфёрова,17,40,1957,,,,,
Захаров Роман Денисович,Улица Строителей,10,237,1994,,,,,
Кудрявцева Анна Тимофеевна,Проспект Вернадского,30,223,1997,,,,,
Кожевников Иван Евгеньевич,Нахимовский проспект,19,244,1960,,,,,
Тихонова Мария Фёдоровна,Проспект Вернадского,23,196,1963,,,,,
Калинин Даниил Артёмович,Проспект Вернадского,26,222,1970,,,,,
Константинов Александр Юрьевич,Улица Гарибальди,4,146,1981,,,,,
Балашова Анна Савельевна,Улица Архитектора Власова,7,233,1975,,,,,
Суслов Демид Дмитриевич,Нахимовский проспект,11,297,1952,,,,,
Белов Максим Демидович,Улица Строителей,21,6,1992,,,,,
Воронин Сергей Дмитриевич,Улица Архитектора Власова,8,41,1954,,,,,
Баранова Алиса Ивановна,Улица Строителей,15,119,1981,,,,,
Филиппова София Максимовна,Улица Академика Пилюгина,12,254,2001,,,,,
Максимова Анна Фёдоровна,Улица Академика Пилюгина,17,72,1963,,,,,
Попов Леонид Макарович,Улица Кравченко,9,82,1959,,,,,
Елизарова Антонина Игоревна,Нахимовский проспект,27,199,1960,,,,,
Шестаков Андрей Львович,Улица Академика Пилюгина,4,69,2004,,,,,
Белова София Львовна,Ленинский проспект,11,186,1964,,,,,
Петров Георгий Николаевич,Улица Гарибальди,29,20,1956,,,,,
Дорофеев Никита Александрович,Улица Академика Пилюгина,3,222,1964,,,,,
Соколова Полина Романовна,Проспект Вернадского,7,65,1964,,,,,
Кукушкин Павел Львович,Улица Панфёрова,26,3,1962,,,,,
Леонтьев Семён Иванович,Ленинский проспект,6,162,1952,,,,,
Васильев Михаил Константинович,Улица Архитектора Власова,1,264,1974,,,,,
Баранова Майя Михайловна,Улица Кравченко,20,24,2001,,,,,
Калинин Даниил Артёмович,Улица Крупской,29,25,1987,,,,,
Осипов Вадим Борисович,Улица Академика Пилюгина,22,98,1980,,,,,
Алешина Кристина Евгеньевна,Проспект Вернадского,22,38,1996,,,,,
Прокофьев Дмитрий Родионович,Улица Кравченко,5,10,1973,,,,,
Миронов Иван Никитич,Ленинский проспект,6,30,1988,,,,,
Шестаков Андрей Львович,Улица Крупской,2,246,1973,,,,,
Кудрявцева Анна Тимофеевна,Улица Крупской,27,96,1982,,,,,
Озеров Григорий Иванович,Нахимовский проспект,16,197,1956,,,,,
Ларина Александра Ярославовна,Улица Крупской,8,69,1955,,,,,
Григорьев Пётр Александрович,Улица Гарибальди,15,13,1991,,,,,
Серебрякова Дарья Георгиевна,Нахимовский проспект,3,195,1980,,,,,
Соколова Василиса Александровна,Улица Панфёрова,20,139,1989,,,,,
Миронов Илья Мирославович,Улица Марии Ульяновой,20,78,1968,,,,,
Воронина Полина Глебовна,Ленинский проспект,12,119,1953,,,,,
Пономарева Ирина Александровна,Улица Гарибальди,18,58,1987,,,,,
Глухова Полина Андреевна,Улица Крупской,8,175,1973,,,,,
Захаров Роман Денисович,Улица Кравченко,21,119,1960,,,,,
Захаров Николай Александрович,Улица Гарибальди,1,236,1987,,,,,
Левин Сергей Ильич,Проспект Вернадского,14,237,1952,,,,,
Моисеева София Максимовна,Улица Строителей,24,270,1961,,,,,
Мартынов Даниил Демьянович,Улица Кравченко,29,16,1998,,,,,
Васильев Михаил Константинович,Улица Архитектора Власова,19,61,1978,,,,,
Воронина Полина Глебовна,Улица Строителей,6,36,2002,,,,,
Иванов Артём Иванович,Улица Крупской,13,47,1965,,,,,
Соколова Василиса Александровна,Улица Архитектора Власова,23,224,1953,,,,,
Константинов Александр Юрьевич,Улица Строителей,24,13,1977,,,,,
Белов Максим Демидович,Улица Строителей,29,53,1982,,,,,
Скворцов Максим Мирославович,Улица Кравченко,23,232,1982,,,,,
Усова Алиса Николаевна,Улица Архитектора Власова,18,177,1974,,,,,
Щеглова Мария Артёмовна,Ленинский проспект,2,250,1985,,,,,
Белов Максим Демидович,Улица Гарибальди,7,17,1953,,,,,
Новикова София Елисеевна,Улица Архитектора Власова,4,63,1970,,,,,
Козлов Иван Михайлович,Нахимовский проспект,24,172,1962,,,,,
Новикова Кира Борисовна,Улица Крупской,14,287,1965,,,,,
Иванов Дмитрий Ярославович,Улица Архитектора Власова,4,196,1957,,,,,
Пахомов Владислав Макарович,Улица Архитектора Власова,15,164,1992,,,,,
Коровина Екатерина Юрьевна,Улица Кравченко,10,121,1971,,,,,
Блохина Елизавета Ильинична,Улица Архитектора Власова,7,97,2004,,,,,
Симонов Роман Андреевич,Улица Вавилова,18,269,1986,,,,,
Туманов Сергей Михайлович,Ленинский проспект,8,7,2003,,,,,
Крючков Вячеслав Андреевич,Улица Гарибальди,13,210,1961,,,,,
Коровина Екатерина Юрьевна,Проспект Вернадского,5,162,1979,,,,,
Васильев Михаил Константинович,Улица Панфёрова,6,49,1999,,,,,
Серебрякова Дарья Георгиевна,Нахимовский проспект,22,275,1972,,,,,
Тихонова Василиса Фёдоровна,Улица Крупской,13,80,1983,,,,,
Горелов Владимир Дмитриевич,Улица Гарибальди,26,117,1983,,,,,
Левин Максим Богданович,Улица Марии Ульяновой,26,246,2004,,,,,
Васильева Вероника Мироновна,Ленинский проспект,1,264,1954,,,,,
Давыдов Кирилл Янович,Проспект Вернадского,22,137,1951,,,,,
Александрова Василиса Ивановна,Улица Крупской,3,227,1969,,,,,
Левина Анна Александровна,Улица Вавилова,22,47,1970,,,,,
Попов Илья Матвеевич,Улица Строителей,10,143,1975,,,,,
Сидоров Матвей Даниилович,Улица Архитектора Власова,4,285,1965,,,,,
Сидоров Матвей Даниилович,Проспект Вернадского,10,85,1989,,,,,
Блохина Елизавета Ильинична,Улица Панфёрова,13,215,1984,,,,,
Серебрякова Полина Ярославовна,Улица Марии Ульяновой,1,47,1997,,,,,
Серебрякова Полина Ярославовна,Улица Строителей,25,235,1951,,,,,
Денисов Алексей Романович,Улица Панфёрова,1,54,1977,,,,,
Беляева Ева Данииловна,Проспект Вернадского,26,131,1962,,,,,
Васильев Михаил Константинович,Улица Вавилова,8,77,1954,,,,,
Лазарева Анна Григорьевна,Ленинский проспект,4,53,1951,,,,,
Максимова Анна Фёдоровна,Проспект Вернадского,7,143,1997,,,,,
Новикова София Елисеевна,Ленинский проспект,2,84,2002,,,,,
Жданов Илья Михайлович,Нахимовский проспект,7,15,1962,,,,,
Филиппова София Максимовна,Улица Вавилова,9,130,1970,,,,,
Серебрякова Дарья Георгиевна,Улица Строителей,13,33,1978,,,,,
Филиппова Надежда Ярославовна,Улица Вавилова,7,205,1998,,,,,
Сергеев Гордей Ярославович,Улица Крупской,15,288,2005,,,,,
Добрынин Дмитрий Тихонович,Улица Архитектора Власова,2,99,1988,,,,,
Александрова Василиса Ивановна,Нахимовский проспект,23,230,1995,,,,,
Щеглова Мария Артёмовна,Улица Марии Ульяновой,20,180,1952,,,,,
Орлова Алёна Романовна,Улица Строителей,15,89,1990,,,,,
Белов Максим Демидович,Улица Строителей,3,107,1971,,,,,
Суворов Макар Александрович,Улица Вавилова,11,117,2000,,,,,
Хохлов Александр Михайлович,Ленинский проспект,1,40,1958,,,,,
Голиков Лев Никитич,Улица Вавилова,27,250,1989,,,,,
Симонов Роман Андреевич,Улица Кравченко,14,195,1958,,,,,
Сергеев Михаил Станиславович,Улица Марии Ульяновой,19,188,1970,,,,,
Белов Максим Демидович,Ленинский проспект,23,91,1958,,,,,
Щеглова Мария Артёмовна,Ленинский проспект,21,153,1964,,,,,
Наумов Артём Константинович,Улица Гарибальди,4,219,1990,,,,,
Голиков Кирилл Маркович,Улица Строителей,29,77,2001,,,,,
Петровская Анастасия Макаровна,Нахимовский проспект,29,19,1978,,,,,
Максимова Полина Максимовна,Улица Архитектора Власова,26,129,1968,,,,,
Петровская Полина Максимовна,Улица Гарибальди,24,287,1952,,,,,
Филимонова Анна Владимировна,Улица Гарибальди,18,235,1977,,,,,
Мартынов Даниил Демьянович,Улица Вавилова,6,195,1961,,,,,
Морозов Роман Артурович,Ленинский проспект,5,297,1965,,,,,
Павлов Кирилл Александрович,Улица Академика Пилюгина,14,55,1983,,,,,
Яковлев Леонид Константинович,Нахимовский проспект,15,3,1966,,,,,
Давыдов Кирилл Янович,Улица Академика Пилюгина,7,28,2003,,,,,
Новиков Андрей Георгиевич,Нахимовский проспект,9,225,1952,,,,,
Осипов Александр Тимофеевич,Улица Вавилова,22,47,1974,,,,,
Ларина Александра Ярославовна,Улица Крупской,27,118,1987,,,,,
Тихонова Василиса Фёдоровна,Улица Панфёрова,24,26,1956,,,,,
Андреева Ева Андреевна,Улица Архитектора Власова,10,37,1961,,,,,
Александрова Василиса Ивановна,Улица Кравченко,16,66,2003,,,,,
Петрова Таисия Артёмовна,Улица Крупской,28,96,1961,,,,,
Абрамова Кристина Андреевна,Проспект Вернадского,18,137,1980,,,,,
Петрова Алиса Степановна,Нахимовский проспект,29,148,1964,,,,,
Абрамова Кристина Андреевна,Улица Вавилова,26,23,1965,,,,,
Иванов Даниил Олегович,Улица Панфёрова,16,98,1982,,,,,
Копылов Григорий Платонович,Ленинский проспект,25,36,1974,,,,,
Максимова Полина Кирилловна,Улица Гарибальди,4,222,1967,,,,,
Мартынов Даниил Демьянович,Нахимовский проспект,6,269,1960,,,,,
Баранова Василиса Александровна,Улица Панфёрова,30,130,1972,,,,,
Иванова Татьяна Юрьевна,Улица Академика Пилюгина,3,234,1980,,,,,
Скворцов Максим Мирославович,Улица Кравченко,18,124,1950,,,,,
Чернышев Платон Артёмович,Проспект Вернадского,30,107,1991,,,,,
Козлова Виктория Дмитриевна,Ленинский проспект,10,114,1953,,,,,
Абрамова Кристина Андреевна,Улица Панфёрова,3,190,1990,,,,,
Симонов Роман Андреевич,Улица Строителей,18,9,2005,,,,,
Алешина Кристина Евгеньевна,Улица Гарибальди,20,59,1994,,,,,
Голиков Лев Никитич,Улица Академика Пилюгина,28,194,1994,,,,,
Орлов Игорь Александрович,Нахимовский проспект,5,291,1984,,,,,
Сазонова Анастасия Александровна,Улица Гарибальди,6,5,1969,,,,,
Богданов Владимир Маркович,Улица Кравченко,7,135,1987,,,,,
Щеглова Мария Артёмовна,Улица Марии Ульяновой,9,132,1962,,,,,
Жданов Кирилл Фёдорович,Ленинский проспект,17,266,1964,,,,,
Васильев Кирилл Ильич,Улица Гарибальди,9,266,1999,,,,,
Волков Кирилл Маркович,Улица Архитектора Власова,28,219,2003,,,,,
Егоров Глеб Семёнович,Улица Марии Ульяновой,4,230,1971,,,,,
Крючков Вячеслав Андреевич,Проспект Вернадского,30,81,1950,,,,,
Волков Кирилл Маркович,Улица Кравченко,6,26,1985,,,,,
Сазонова Анастасия Александровна,Улица Гарибальди,20,1,1968,,,,,
Алексеев Степан Семёнович,Нахимовский проспект,24,282,1965,,,,,
Новикова София Елисеевна,Улица Вавилова,15,266,1996,,,,,
Щеглова Мария Артёмовна,Улица Вавилова,3,242,1954,,,,,
Щеглова Мария Артёмовна,Ленинский проспект,25,197,1951,,,,,
Фирсова Василиса Марковна,Нахимовский проспект,24,129,1967,,,,,
Коротков Кирилл Мирославович,Улица Архитектора Власова,25,185,1966,,,,,
Родионова Дарья Александровна,Ленинский проспект,22,233,1992,,,,,
Кожевников Иван Евгеньевич,Ленинский проспект,6,34,1995,,,,,
Платонова Алиса Степановна,Улица Строителей,8,41,1956,,,,,
Серебрякова Полина Ярославовна,Улица Марии Ульяновой,18,261,1991,,,,,
Моисеева София Максимовна,Улица Крупской,5,201,2000,,,,,
Фирсова Василиса Марковна,Улица Марии Ульяновой,29,290,1984,,,,,
Тихонов Константин Артёмович,Улица Архитектора Власова,8,157,1952,,,,,
Климова Екатерина Михайловна,Улица Строителей,26,236,1956,,,,,
Астахова София Ильинична,Улица Строителей,5,82,1961,,,,,
Крючков Вячеслав Андреевич,Улица Крупской,18,72,1965,,,,,
Новикова София Елисеевна,Улица Строителей,22,298,1951,,,,,
Туманов Сергей Михайлович,Улица Строителей,17,13,1959,,,,,
Данилова Диана Тимуровна,Нахимовский проспект,29,24,1981,,,,,
Крючков Вячеслав Андреевич,Нахимовский проспект,17,163,1969,,,,,
Карпов Григорий Иванович,Улица Архитектора Власова,12,22,1975,,,,,
Смирнова Полина Максимовна,Улица Крупской,15,16,1958,,,,,
Яковлев Леонид Константинович,Проспект Вернадского,8,67,1957,,,,,
Федотова Полина Максимовна,Улица Академика Пилюгина,11,240,1956,,,,,
Суворов Макар Александрович,Улица Строителей,9,227,1999,,,,,
Мартынов Даниил Демьянович,Улица Крупской,10,261,1988,,,,,
Алексеев Матвей Яковлевич,Проспект Вернадского,25,8,1987,,,,,
Латышев Роман Михайлович,Улица Марии Ульяновой,9,185,1994,,,,,
Моисеева София Максимовна,Улица Крупской,3,94,2001,,,,,
Елизарова Антонина Игоревна,Улица Крупской,27,82,1966,,,,,
Васильева Вероника Мироновна,Улица Архитектора Власова,6,141,1998,,,,,
Николаева Дарина Григорьевна,Проспект Вернадского,11,216,1990,,,,,
Сергеев Гордей Ярославович,Улица Панфёрова,7,150,1996,,,,,
Орлов Георгий Иванович,Улица Гарибальди,17,158,1978,,,,,
Туманов Сергей Михайлович,Улица Архитектора Власова,24,32,1989,,,,,
Максимова Алиса Ярославовна,Улица Академика Пилюгина,25,154,2004,,,,,
Селиванова Елизавета Марковна,Улица Гарибальди,14,255,1999,,,,,
Прохоров Андрей Арсеньевич,Ленинский проспект,7,192,1974,,,,,
Лебедева Василиса Андреевна,Улица Панфёрова,22,239,1983,,,,,
Пахомов Владислав Макарович,Проспект Вернадского,28,130,1969,,,,,
Карпов Александр Тимурович,Улица Академика Пилюгина,19,57,1955,,,,,
Максимова Алиса Ярославовна,Улица Архитектора Власова,9,96,1977,,,,,
Дмитриев Ярослав Романович,Улица Кравченко,1,169,1991,,,,,
Смирнова Полина Максимовна,Нахимовский проспект,10,259,1984,,,,,
Петрова Алиса Степановна,Улица Панфёрова,16,24,1980,,,,,
Копылов Григорий Платонович,Улица Строителей,21,163,1991,,,,,
Константинов Александр Юрьевич,Улица Строителей,16,207,1966,,,,,
Яковлев Леонид Константинович,Улица Крупской,5,40,1972,,,,,
Моисеева София Максимовна,Улица Архитектора Власова,18,27,1992,,,,,
Левин Максим Богданович,Улица Вавилова,24,52,1980,,,,,
Дмитриев Ярослав Романович,Улица Кравченко,10,241,2002,,,,,
Денисов Илья Дмитриевич,Улица Панфёрова,9,194,2002,,,,,
Соловьева Елизавета Ивановна,Проспект Вернадского,20,98,1977,,,,,
Иванов Дмитрий Ярославович,Улица Вавилова,16,81,1954,,,,,
Абрамова Кристина Андреевна,Улица Крупской,23,101,1994,,,,,
Павлов Евгений Кириллович,Улица Академика Пилюгина,24,79,1999,,,,,
Баранова Майя Михайловна,Проспект Вернадского,3,155,1969,,,,,
Пономарева Мирослава Григорьевна,Улица Архитектора Власова,7,149,1980,,,,,
Максимова Анна Фёдоровна,Улица Гарибальди,29,80,1995,,,,,
Глухова Полина Андреевна,Нахимовский проспект,13,216,1980,,,,,
Щеглова Мария Артёмовна,Улица Гарибальди,14,99,1976,,,,,
Максимова Полина Кирилловна,Улица Кравченко,29,137,2004,,,,,
Шишкин Константин Павлович,Ленинский проспект,24,113,2000,,,,,
Алексеев Степан Семёнович,Улица Академика Пилюгина,29,166,1956,,,,,
Филиппова София Максимовна,Улица Академика Пилюгина,16,94,1981,,,,,
Серебрякова Полина Ярославовна,Улица Вавилова,5,15,1997,,,,,
Попов Даниил Михайлович,Улица Крупской,5,217,1957,,,,,
Максимова Анна Фёдоровна,Улица Гарибальди,14,212,2005,,,,,
Дорофеева Анна Фёдоровна,Ленинский проспект,10,13,1991,,,,,
Власова Алина Андреевна,Ленинский проспект,17,162,1974,,,,,
Серебрякова Дарья Георгиевна,Нахимовский проспект,2,28,1997,,,,,
Антонов Артём Платонович,Проспект Вернадского,6,26,1999,,,,,
Скворцов Максим Мирославович,Улица Панфёрова,13,154,2003,,,,,
Дмитриев Ярослав Романович,Проспект Вернадского,24,181,1969,,,,,
Смирнова Полина Максимовна,Нахимовский проспект,8,121,1951,,,,,
Дорофеева Анна Фёдоровна,Улица Крупской,7,132,1999,,,,,
Зубков Алексей Арсеньевич,Улица Архитектора Власова,11,269,1979,,,,,
Козлов Глеб Матвеевич,Ленинский проспект,27,197,1970,,,,,
Гришина Кира Артемьевна,Улица Архитектора Власова,9,34,1961,,,,,
Петров Георгий Николаевич,Улица Кравченко,2,55,1972,,,,,
Осипов Вадим Борисович,Улица Крупской,16,16,1984,,,,,
Ежова Ксения Георгиевна,Улица Вавилова,20,146,1972,,,,,
Новикова Кира Борисовна,Улица Вавилова,22,156,1982,,,,,
Васильева Вероника Мироновна,Улица Вавилова,3,94,1978,,,,,
Никитина Мария Руслановна,Нахимовский проспект,25,293,1980,,,,,
Денисов Алексей Романович,Улица Академика Пилюгина,24,204,1969,,,,,
Васильев Кирилл Ильич,Улица Кравченко,23,231,1984,,,,,
Дьякова Анастасия Александровна,Улица Панфёрова,5,36,1959,,,,,
Хохлов Александр Михайлович,Улица Крупской,20,172,1997,,,,,
Андреева Ева Андреевна,Улица Архитектора Власова,18,104,1963,,,,,
Морозов Роман Артурович,Улица Крупской,27,38,1958,,,,,
Антонов Артём Платонович,Улица Гарибальди,24,50,1983,,,,,
Васильева София Николаевна,Улица Вавилова,22,221,1996,,,,,
Блохина Елизавета Ильинична,Улица Кравченко,6,109,1966,,,,,
Голиков Кирилл Маркович,Улица Крупской,6,204,1979,,,,,
Новикова София Елисеевна,Улица Марии Ульяновой,2,284,1957,,,,,
Жданова Ульяна Никитична,Улица Крупской,22,173,1960,,,,,
Иванов Даниил Олегович,Улица Кравченко,13,224,1975,,,,,
Карпова Арина Григорьевна,Улица Академика Пилюгина,13,99,1951,,,,,
Левина Анна Александровна,Улица Марии Ульяновой,10,202,1986,,,,,
Суслов Демид Дмитриевич,Проспект Вернадского,8,81,1951,,,,,
Орлов Вадим Иванович,Улица Вавилова,5,243,2003,,,,,
Алексеев Степан Семёнович,Ленинский проспект,12,65,1993,,,,,
Фомин Артём Андреевич,Нахимовский проспект,11,282,1957,,,,,
Белова Анастасия Ивановна,Нахимовский проспект,30,161,2004,,,,,
Тихонов Константин Артёмович,Улица Кравченко,27,110,1995,,,,,
Баранова Василиса Александровна,Ленинский проспект,5,90,1961,,,,,
Михайлов Елисей Михайлович,Проспект Вернадского,11,90,1990,,,,,
Пономарева Ирина Александровна,Нахимовский проспект,2,61,1952,,,,,
Козлов Роман Сергеевич,Улица Вавилова,9,210,1967,,,,,
Соколова Василиса Александровна,Улица Гарибальди,25,282,1950,,,,,
Михайлов Елисей Михайлович,Улица Академика Пилюгина,9,132,1971,,,,,
Иванов Артём Иванович,Улица Архитектора Власова,12,220,1990,,,,,
Баранова Майя Михайловна,Улица Марии Ульяновой,22,276,1994,,,,,
Голиков Лев Никитич,Улица Кравченко,9,193,1978,,,,,
Васильев Михаил Константинович,Нахимовский проспект,3,78,1993,,,,,
Козлова Виктория Дмитриевна,Улица Академика Пилюгина,30,220,1995,,,,,
Осипов Александр Тимофеевич,Улица Академика Пилюгина,10,300,1988,,,,,
Ларина Александра Ярославовна,Улица Вавилова,28,42,1954,,,,,
Глухова Полина Андреевна,Улица Крупской,27,25,1965,,,,,
Панфилова Зоя Петровна,Улица Панфёрова,15,261,1997,,,,,
Родионова Дарья Александровна,Нахимовский проспект,10,46,2002,,,,,
Беляева Ева Данииловна,Улица Панфёрова,10,6,1953,,,,,
Лазарева Анна Григорьевна,Улица Строителей,30,40,1951,,,,,
Фомин Артём Андреевич,Улица Архитектора Власова,30,119,1968,,,,,
Левин Сергей Ильич,Улица Академика Пилюгина,23,30,1987,,,,,
Иванов Даниил Олегович,Улица Кравченко,9,16,2001,,,,,
Петрова Таисия Артёмовна,Улица Вавилова,15,227,1961,,,,,
Суслов Демид Дмитриевич,Улица Панфёрова,15,235,1969,,,,,
Петрова Алиса Степановна,Улица Кравченко,12,132,1973,,,,,
Пономарева Мирослава Григорьевна,Улица Крупской,13,36,1966,,,,,
Гордеева Диана Михайловна,Улица Кравченко,11,296,2002,,,,,
Островский Макар Глебович,Улица Академика Пилюгина,14,180,1969,,,,,
Петрова Алиса Степановна,Улица Гарибальди,9,183,1963,,,,,
Матвеева Ева Андреевна,Улица Кравченко,18,131,1981,,,,,
Алексеев Степан Семёнович,Ленинский проспект,12,214,1990,,,,,
Симонов Роман Андреевич,Проспект Вернадского,5,234,1992,,,,,
Хохлов Александр Михайлович,Улица Вавилова,23,257,1970,,,,,
Шестаков Андрей Львович,Улица Крупской,26,104,1973,,,,,
Дмитриев Ярослав Романович,Нахимовский проспект,1,62,1972,,,,,
Орлов Вадим Иванович,Улица Архитектора Власова,3,293,1978,,,,,
Литвинова Полина Лукинична,Улица Вавилова,21,68,1954,,,,,
Селиванова Елизавета Марковна,Проспект Вернадского,24,157,1963,,,,,
Петровская Анастасия Макаровна,Нахимовский проспект,4,203,1984,,,,,
Герасимов Артур Денисович,Нахимовский проспект,28,122,1965,,,,,
Карпова Арина Григорьевна,Улица Гарибальди,5,244,1984,,,,,
Николаева Валерия Владимировна,Улица Крупской,7,255,1979,,,,,
Озеров Григорий Иванович,Улица Гарибальди,16,113,1990,,,,,
Тарасова Арина Глебовна,Улица Панфёрова,22,23,1983,,,,,
Соколова Полина Романовна,Улица Крупской,20,133,1981,,,,,
Орлова Алёна Романовна,Нахимовский проспект,18,177,2003,,,,,
Серебрякова Полина Ярославовна,Улица Архитектора Власова,3,282,1973,,,,,
Соколов Лев Владиславович,Улица Архитектора Власова,3,215,2005,,,,,
Ермакова Майя Никитична,Улица Крупской,24,159,1960,,,,,
Моисеева София Максимовна,Ленинский проспект,30,222,1986,,,,,
Соколова Полина Романовна,Проспект Вернадского,6,270,1971,,,,,
Климова Екатерина Михайловна,Нахимовский проспект,7,11,1958,,,,,
Филиппова София Максимовна,Улица Архитектора Власова,5,293,1999,,,,,
Павлов Лев Александрович,Улица Гарибальди,19,177,1986,,,,,
Егоров Глеб Семёнович,Улица Крупской,23,212,1982,,,,,
Плотников Елисей Ильич,Улица Строителей,5,93,1982,,,,,
Сергеев Михаил Станиславович,Улица Строителей,17,4,1970,,,,,
Воронин Сергей Дмитриевич,Ленинский проспект,8,181,1952,,,,,
Иванов Максим Тимофеевич,Улица Гарибальди,21,64,1966,,,,,
Баранова Алиса Ивановна,Ленинский проспект,16,43,2000,,,,,
Алексеев Матвей Яковлевич,Улица Панфёрова,20,63,1994,,,,,
Егоров Глеб Семёнович,Улица Панфёрова,20,199,2005,,,,,
Сергеев Гордей Ярославович,Улица Панфёрова,9,69,1971,,,,,
Чернышев Платон Артёмович,Ленинский проспект,28,222,1995,,,,,
Платонова Алиса Степановна,Улица Крупской,18,87,1985,,,,,
Астахова Виктория Васильевна,Улица Строителей,23,214,1962,,,,,
Васильев Михаил Константинович,Улица Гарибальди,15,232,1979,,,,,
Крючков Вячеслав Андреевич,Улица Архитектора Власова,6,147,1984,,,,,
Тихонова Василиса Фёдоровна,Улица Крупской,25,5,1963,,,,,
Коротков Кирилл Мирославович,Улица Вавилова,23,129,1982,,,,,
Осипов Вадим Борисович,Улица Марии Ульяновой,3,148,1959,,,,,
Захаров Николай Александрович,Проспект Вернадского,9,4,2000,,,,,
Беляева Ева Данииловна,Улица Вавилова,22,14,1965,,,,,
Горелов Владимир Дмитриевич,Улица Гарибальди,27,149,1997,,,,,
Чернышев Платон Артёмович,Улица Вавилова,6,56,1975,,,,,
Степанов Дмитрий Александрович,Проспект Вернадского,22,39,1958,,,,,
Платонова Алиса Степановна,Улица Гарибальди,4,230,1972,,,,,
Лебедева Василиса Андреевна,Улица Панфёрова,13,110,1996,,,,,
Баранова Виктория Максимовна,Улица Кравченко,19,133,1980,,,,,
Тихомиров Герман Даниилович,Улица Панфёрова,11,97,1972,,,,,
Абрамова Кристина Андреевна,Проспект Вернадского,11,280,1996,,,,,
